FIPS,County,State,ST
1001,Autauga,Alabama,AL
1003,Baldwin,Alabama,AL
1005,Barbour,Alabama,AL
1007,Bibb,Alabama,AL
1009,Blount,Alabama,AL
1011,Bullock,Alabama,AL
1013,Butler,Alabama,AL
1015,Calhoun,Alabama,AL
1017,Chambers,Alabama,AL
1019,Cherokee,Alabama,AL
1021,Chilton,Alabama,AL
1023,Choctaw,Alabama,AL
1025,Clarke,Alabama,AL
1027,Clay,Alabama,AL
1029,Cleburne,Alabama,AL
1031,Coffee,Alabama,AL
1033,Colbert,Alabama,AL
1035,Conecuh,Alabama,AL
1037,Coosa,Alabama,AL
1039,Covington,Alabama,AL
1041,Crenshaw,Alabama,AL
1043,Cullman,Alabama,AL
1045,Dale,Alabama,AL
1047,Dallas,Alabama,AL
1049,DeKalb,Alabama,AL
1051,Elmore,Alabama,AL
1053,Escambia,Alabama,AL
1055,Etowah,Alabama,AL
1057,Fayette,Alabama,AL
1059,Franklin,Alabama,AL
1061,Geneva,Alabama,AL
1063,Greene,Alabama,AL
1065,Hale,Alabama,AL
1067,Henry,Alabama,AL
1069,Houston,Alabama,AL
1071,Jackson,Alabama,AL
1073,Jefferson,Alabama,AL
1075,Lamar,Alabama,AL
1077,Lauderdale,Alabama,AL
1079,Lawrence,Alabama,AL
1081,Lee,Alabama,AL
1083,Limestone,Alabama,AL
1085,Lowndes,Alabama,AL
1087,Macon,Alabama,AL
1089,Madison,Alabama,AL
1091,Marengo,Alabama,AL
1093,Marion,Alabama,AL
1095,Marshall,Alabama,AL
1097,Mobile,Alabama,AL
1099,Monroe,Alabama,AL
1101,Montgomery,Alabama,AL
1103,Morgan,Alabama,AL
1105,Perry,Alabama,AL
1107,Pickens,Alabama,AL
1109,Pike,Alabama,AL
1111,Randolph,Alabama,AL
1113,Russell,Alabama,AL
1115,St. Clair,Alabama,AL
1117,Shelby,Alabama,AL
1119,Sumter,Alabama,AL
1121,Talladega,Alabama,AL
1123,Tallapoosa,Alabama,AL
1125,Tuscaloosa,Alabama,AL
1127,Walker,Alabama,AL
1129,Washington,Alabama,AL
1131,Wilcox,Alabama,AL
1133,Winston,Alabama,AL
2013,Aleutians East Borough,Alaska,AK
2016,Aleutians West Census Area,Alaska,AK
2020,Anchorage Municipality,Alaska,AK
2050,Bethel Census Area,Alaska,AK
2060,Bristol Bay Borough,Alaska,AK
2068,Denali Borough,Alaska,AK
2070,Dillingham Census Area,Alaska,AK
2090,Fairbanks North Star Borough,Alaska,AK
2100,Haines Borough,Alaska,AK
2110,Juneau City and Borough,Alaska,AK
2122,Kenai Peninsula Borough,Alaska,AK
2130,Ketchikan Gateway Borough,Alaska,AK
2150,Kodiak Island Borough,Alaska,AK
2164,Lake and Peninsula Borough,Alaska,AK
2170,Matanuska-Susitna Borough,Alaska,AK
2180,Nome Census Area,Alaska,AK
2185,North Slope Borough,Alaska,AK
2188,Northwest Arctic Borough,Alaska,AK
2201,Prince of Wales-Outer Ketchikan Census Area,Alaska,AK
